미세먼지(PM10) 월별 도시별 대기오염도 (단위 : μg/m³ )
시도별,도시별,2019년01월,2019년02월,2019년03월,2019년04월,2019년05월,2019년06월,2019년07월,2019년08월,2019년09월,2019년10월,2019년11월,2019년12월,
$전북,김제,61,62,70,46,54,42,29,30,27,39,46,39,
$전북,완주,60,60,65,43,48,37,25,24,21,28,39,35,
$전북,진안,55,55,62,39,41,37,24,24,19,24,38,33,
$전북,무주,49,49,51,31,35,26,18,18,17,19,27,27,
$전북,순창,49,55,57,36,41,30,21,28,26,29,35,33,
$전북,장수,52,55,59,39,40,28,14*,26,30,,51,46,
도평균,61,62,68,44,50,38,26,29,26,34,43,36,
전남$전남,화순,,,50,36,42,33,22,24,20,27,33,26,
$전남,여수,40,45,42,31,39,30,23,27,23,24,34,26,
$전남,광양,38*,45,44,33,40,33,23,24,21,21,31,26,
$전남,순천,40,45,43,31,38,29,21,29,21,22,34,27,
$전남,목포,50,55,63,38,50,32,28*,33,28,34,39,32,
$전남,영암,47,49,59,37,46,31,33,36,28,35,42,41,
$전남,나주,39,44,56,41,45,40,23,25,18,25,34,27,
$전남,담양,55,58,63,37,42,42,31,26,21,27,39,27,
$전남,장성,50,52,58,41,45,33,20,20,21,31,39,34,
$전남,해남,40,43,52,34,45,35,23,27,23,32,35,28,
$전남,영광,50,52,64,42,47,34,23,27,24,36,41,34,
$전남,장흥,39,43,45,26,34,31,20,31,21,28,34,28,
$전남,진도,,43,46,30,40,26,20,24,21,29,33,26,
$전남,완도,,46,48,31,41,26,20,24,20,25,34,23,
$전남,함평,,48,54,33,42,31,22,25,21,32,39,36,
$전남,고흥,,,33,30,38,27,19,23,20,25,33,26,
$전남,신안,,,41,32,42,23,13,37,17,26,30,23,
$전남,무안,,,43,37,48,39,31,34,33,43,44,35,
$전남,강진,,,,,,28,23,28,22,25,28,26,
$전남,곡성,,,,,,,,,20,26,41,34,
$전남,구례,,,,,,,22,29,24,27,36,33,
$전남,보성,,,,,,,,,23,26,38,33,
도평균,42,47,48,33,41,31,23,28,22,27,35,28,
경북$경북,영덕,,,,,,,,,,,,28**,
$경북,영천,58,52,52,40,47,31,23,25,23,30,45,44,
$경북,울릉도,,,,,,,30**,24,20,26,26,23,
$경북,포항,47,45,52,42,49,36,29,29,27,33,42,39,
$경북,구미,76,71,72,50,53,37,34,33,29,32,45,48,
$경북,김천,74,74*,71,43,41,31,28,25,24,31,41,43,
$경북,경주,50,47,47,39,47,32**,24,26,22,27,39,37**,
$경북,안동,,46*,48,37,44,29,26,25,19,26,36,39,
$경북,영주,98,84,82,56,62,38,33,34,31,47,64,66*,
$경북,경산,64,60,59,44,48,37,31,33,23,27,41,45,
$경북,상주,55,54,62,44,48,30,25,25,22,30,45,40,
$경북,칠곡,56,51,51,37,40,29,24,26,24,27,39,38,
$경북,울진,,34*,43,32,37,22,24,24,18,24,27,26,
$경북,봉화,,,,,29,18,18,20,13,17,21,22,
$경북,고령,,,,,,,,,,24**,31,31,
도평균,62,57,60,43,47,33,28,28,25,31,40,39,
경남$경남,창원,53,53,51,42,49,37,30,34,29,32,38,34,
$경남,진주,46,48,50,41,48,40,30,33,28,29,38,33,
$경남,하동,38,52,47,36,42,42,,,,19,27,27,
$경남,김해,53,52,51,41,47,33,29,33,26,30,38,37,
$경남,양산,50,52,53,45,52,39,32,34,28,32,38,35,
$경남,거제,39,43,43,36,45,31,26,31,30,32,36,29,
$경남,사천,43,44,42,32,37,30,22,26,22,25,35,34,
$경남,밀양,49,50,50,40,46,37,30,30,23,26,37,33,
$경남,통영,48,53,53,42,50,39,30,36,29,32,37,31,
$경남,고성,46,50,50,40,46,36,28,35,30,32,39,33,
$경남,거창,50,56,60,41,45,35,26,28,24,,40,37,
$경남,함안,50,50,47,38,42,35,28,30,30,,42,37,
$경남,함양,47,52,57,37,43,33,23,24,20,27,36,30,
$경남,남해,45,50,51,38,44,35,25,29,27,28,35,30,
$경남,산청,,,,,,,,,,,27,25,
$경남,의령,,,,,,,,,,,28,27,
$경남,창녕,,,,,,,,,,,34,33,
$경남,합천,,,,,,,,,,,27,26,
도평균,49,51,51,40,47,36,29,32,27,30,37,33,
제주$제주,제주,39,46,56,43,47,34,27,30,28,34,44,33,
$제주,서귀포,32,38,47,35,40,28,24,30,23,31,38,27,
도평균,35,42,50,38,43,30,26,30,25,32,40,29,
